16383+i*0	16383+i*0	16383+i*0	16383+i*0	16383+i*0	16383+i*0	16383+i*0	16383+i*0	16383+i*0	16383+i*0	16383+i*0	16383+i*0	16383+i*0	16383+i*0	16383+i*0	16383+i*0	
16383+i*0	16378+i*-402	16363+i*-804	16339+i*-1205	16304+i*-1606	16260+i*-2005	16206+i*-2404	16142+i*-2801	16068+i*-3196	15985+i*-3590	15892+i*-3981	15790+i*-4370	15678+i*-4756	15556+i*-5139	15425+i*-5519	15285+i*-5896	
16383+i*0	16363+i*-804	16304+i*-1606	16206+i*-2404	16068+i*-3196	15892+i*-3981	15678+i*-4756	15425+i*-5519	15136+i*-6270	14810+i*-7005	14449+i*-7723	14052+i*-8423	13622+i*-9102	13159+i*-9759	12664+i*-10393	12139+i*-11002	
16383+i*0	16339+i*-1205	16206+i*-2404	15985+i*-3590	15678+i*-4756	15285+i*-5896	14810+i*-7005	14255+i*-8075	13622+i*-9102	12915+i*-10079	12139+i*-11002	11297+i*-11865	10393+i*-12664	9433+i*-13394	8423+i*-14052	7366+i*-14634	
16383+i*0	16304+i*-1606	16068+i*-3196	15678+i*-4756	15136+i*-6270	14449+i*-7723	13622+i*-9102	12664+i*-10393	11585+i*-11585	10393+i*-12664	9102+i*-13622	7723+i*-14449	6270+i*-15136	4756+i*-15678	3196+i*-16068	1606+i*-16304	
16383+i*0	16260+i*-2005	15892+i*-3981	15285+i*-5896	14449+i*-7723	13394+i*-9433	12139+i*-11002	10701+i*-12405	9102+i*-13622	7366+i*-14634	5519+i*-15425	3590+i*-15985	1606+i*-16304	-402+i*-16378	-2404+i*-16206	-4370+i*-15790	
16383+i*0	16206+i*-2404	15678+i*-4756	14810+i*-7005	13622+i*-9102	12139+i*-11002	10393+i*-12664	8423+i*-14052	6270+i*-15136	3981+i*-15892	1606+i*-16304	-804+i*-16363	-3196+i*-16068	-5519+i*-15425	-7723+i*-14449	-9759+i*-13159	
16383+i*0	16142+i*-2801	15425+i*-5519	14255+i*-8075	12664+i*-10393	10701+i*-12405	8423+i*-14052	5896+i*-15285	3196+i*-16068	402+i*-16378	-2404+i*-16206	-5139+i*-15556	-7723+i*-14449	-10079+i*-12915	-12139+i*-11002	-13841+i*-8765	
16383+i*0	16068+i*-3196	15136+i*-6270	13622+i*-9102	11585+i*-11585	9102+i*-13622	6270+i*-15136	3196+i*-16068	0+i*-16383	-3196+i*-16068	-6270+i*-15136	-9102+i*-13622	-11585+i*-11585	-13622+i*-9102	-15136+i*-6270	-16068+i*-3196	
16383+i*0	15985+i*-3590	14810+i*-7005	12915+i*-10079	10393+i*-12664	7366+i*-14634	3981+i*-15892	402+i*-16378	-3196+i*-16068	-6639+i*-14977	-9759+i*-13159	-12405+i*-10701	-14449+i*-7723	-15790+i*-4370	-16363+i*-804	-16142+i*2801	
16383+i*0	15892+i*-3981	14449+i*-7723	12139+i*-11002	9102+i*-13622	5519+i*-15425	1606+i*-16304	-2404+i*-16206	-6270+i*-15136	-9759+i*-13159	-12664+i*-10393	-14810+i*-7005	-16068+i*-3196	-16363+i*804	-15678+i*4756	-14052+i*8423	
16383+i*0	15790+i*-4370	14052+i*-8423	11297+i*-11865	7723+i*-14449	3590+i*-15985	-804+i*-16363	-5139+i*-15556	-9102+i*-13622	-12405+i*-10701	-14810+i*-7005	-16142+i*-2801	-16304+i*1606	-15285+i*5896	-13159+i*9759	-10079+i*12915	
16383+i*0	15678+i*-4756	13622+i*-9102	10393+i*-12664	6270+i*-15136	1606+i*-16304	-3196+i*-16068	-7723+i*-14449	-11585+i*-11585	-14449+i*-7723	-16068+i*-3196	-16304+i*1606	-15136+i*6270	-12664+i*10393	-9102+i*13622	-4756+i*15678	
16383+i*0	15556+i*-5139	13159+i*-9759	9433+i*-13394	4756+i*-15678	-402+i*-16378	-5519+i*-15425	-10079+i*-12915	-13622+i*-9102	-15790+i*-4370	-16363+i*804	-15285+i*5896	-12664+i*10393	-8765+i*13841	-3981+i*15892	1205+i*16339	
16383+i*0	15425+i*-5519	12664+i*-10393	8423+i*-14052	3196+i*-16068	-2404+i*-16206	-7723+i*-14449	-12139+i*-11002	-15136+i*-6270	-16363+i*-804	-15678+i*4756	-13159+i*9759	-9102+i*13622	-3981+i*15892	1606+i*16304	7005+i*14810	
16383+i*0	15285+i*-5896	12139+i*-11002	7366+i*-14634	1606+i*-16304	-4370+i*-15790	-9759+i*-13159	-13841+i*-8765	-16068+i*-3196	-16142+i*2801	-14052+i*8423	-10079+i*12915	-4756+i*15678	1205+i*16339	7005+i*14810	11865+i*11297	
